dateupdated,season,rolling_mean
2016-01-27T07:07:03Z,Winter,1.4666666666666666
2016-01-27T07:16:42Z,Winter,1.45
2016-01-27T09:43:36Z,Winter,1.4333333333333333
2016-01-27T09:56:09Z,Winter,1.4166666666666667
2016-01-27T09:56:13Z,Winter,1.4
2016-01-27T09:59:43Z,Winter,1.3666666666666667
2016-01-27T10:18:08Z,Winter,1.3333333333333333
2016-01-27T10:20:03Z,Winter,1.3
2016-01-27T10:44:52Z,Winter,1.2833333333333334
2016-01-27T10:49:25Z,Winter,1.2666666666666666
2016-01-27T10:57:02Z,Winter,1.25
2016-01-27T10:57:07Z,Winter,1.2333333333333334
2016-01-27T10:58:08Z,Winter,1.2166666666666666
2016-01-27T10:58:44Z,Winter,1.2
2016-01-27T10:58:56Z,Winter,1.2
2016-01-27T11:00:06Z,Winter,1.2
2016-01-27T11:20:26Z,Winter,1.1833333333333333
2016-01-27T11:39:13Z,Winter,1.1666666666666667
2016-01-27T11:39:19Z,Winter,1.1666666666666667
2016-01-27T11:52:36Z,Winter,1.1666666666666667
2016-01-27T12:06:35Z,Winter,1.1666666666666667
2016-01-27T12:06:41Z,Winter,1.1666666666666667
2016-01-27T12:10:58Z,Winter,1.1666666666666667
2016-01-27T12:14:05Z,Winter,1.15
2016-01-27T12:44:24Z,Winter,1.1333333333333333
2016-01-27T13:35:00Z,Winter,1.1166666666666667
2016-01-27T13:36:01Z,Winter,1.1
2016-02-03T07:28:38Z,Winter,1.0833333333333333
2016-02-05T22:12:29Z,Winter,1.0666666666666667
2016-02-05T22:13:22Z,Winter,1.1166666666666667
2016-02-05T22:13:22Z,Winter,1.1666666666666667
2016-02-05T22:13:22Z,Winter,1.2166666666666666
2016-02-05T22:13:22Z,Winter,1.2666666666666666
2016-02-05T22:18:18Z,Winter,1.3166666666666667
2016-02-05T22:18:18Z,Winter,1.3666666666666667
2016-02-05T22:18:18Z,Winter,1.4166666666666667
2016-02-05T22:18:18Z,Winter,1.4666666666666666
2016-02-07T19:43:00Z,Winter,1.4666666666666666
2016-02-08T20:37:20Z,Winter,1.4666666666666666
2016-02-08T20:37:33Z,Winter,1.4666666666666666
2016-02-08T20:45:19Z,Winter,1.4833333333333334
2016-02-08T20:45:19Z,Winter,1.5
2016-02-10T23:11:04Z,Winter,1.5
2016-02-14T01:06:44Z,Winter,1.5166666666666666
2016-02-14T01:06:44Z,Winter,1.5333333333333334
2016-02-14T09:08:09Z,Winter,1.5333333333333334
2016-02-16T01:38:11Z,Winter,1.55
2016-02-16T01:38:11Z,Winter,1.55
2016-02-16T01:38:15Z,Winter,1.5333333333333334
2016-02-16T02:11:31Z,Winter,1.5166666666666666
2016-02-16T05:40:10Z,Winter,1.5
2016-02-16T05:49:51Z,Winter,1.5
2016-02-16T05:49:53Z,Winter,1.5
2016-02-16T05:55:01Z,Winter,1.5
2016-02-16T05:55:04Z,Winter,1.5
2016-02-17T17:07:28Z,Winter,1.5166666666666666
2016-02-17T17:07:28Z,Winter,1.5333333333333334
2016-02-19T14:47:17Z,Winter,1.6
2016-02-19T14:47:17Z,Winter,1.6666666666666667
2016-02-19T14:47:17Z,Winter,1.7333333333333334
2016-02-19T14:47:17Z,Winter,1.8
2016-02-19T14:47:17Z,Winter,1.8666666666666667
2016-02-21T01:32:31Z,Winter,1.8833333333333333
2016-02-21T01:32:31Z,Winter,1.9
2016-02-21T01:32:35Z,Winter,1.9166666666666667
2016-02-21T01:32:35Z,Winter,1.9333333333333333
2016-02-21T01:32:42Z,Winter,1.9833333333333334
2016-02-21T01:32:42Z,Winter,2.033333333333333
2016-02-21T01:32:42Z,Winter,2.0833333333333335
2016-02-21T01:32:42Z,Winter,2.1333333333333333
2016-02-21T01:33:02Z,Winter,2.1666666666666665
2016-02-21T01:33:02Z,Winter,2.2
2016-02-21T01:33:02Z,Winter,2.2333333333333334
2016-02-21T01:33:03Z,Winter,2.25
2016-02-21T01:33:03Z,Winter,2.2666666666666666
2016-02-21T01:33:15Z,Winter,2.283333333333333
2016-02-21T01:33:15Z,Winter,2.3
2016-02-21T05:53:16Z,Winter,2.3
2016-02-21T05:53:20Z,Winter,2.316666666666667
2016-02-21T05:53:20Z,Winter,2.3333333333333335
2016-02-21T05:53:26Z,Winter,2.35
2016-02-21T05:53:26Z,Winter,2.3666666666666667
2016-02-21T05:53:27Z,Winter,2.3833333333333333
2016-02-21T05:53:27Z,Winter,2.4
2016-02-21T05:53:33Z,Winter,2.4166666666666665
2016-02-21T05:53:33Z,Winter,2.433333333333333
2016-02-21T05:53:36Z,Winter,2.45
2016-02-21T05:53:36Z,Winter,2.466666666666667
2016-02-21T14:34:27Z,Winter,2.5166666666666666
2016-02-21T14:34:27Z,Winter,2.5166666666666666
2016-02-21T14:34:27Z,Winter,2.5166666666666666
2016-02-21T14:34:27Z,Winter,2.5166666666666666
2016-02-21T14:34:29Z,Winter,2.4833333333333334
2016-02-21T14:34:29Z,Winter,2.45
2016-02-21T14:34:30Z,Winter,2.4166666666666665
