dateupdated,shoe_type,avg_price
2016-07-21T14:29:22Z,Shoe,129.99
2017-01-12T06:13:45Z,Shoe,85
2017-01-12T06:13:45Z,Shoe,23.99
2017-01-17T18:57:13Z,Shoe,76.6
2017-01-17T18:57:13Z,Shoe,100
2016-03-15T14:14:52Z,Shoe,89.99
2017-01-27T01:30:47Z,Oxford,89.25
2017-01-27T01:30:47Z,Oxford,105
2016-11-11T09:48:01Z,Boot,69.99
2016-11-11T09:48:01Z,Boot,134.98
2016-11-11T09:48:01Z,Boot,129.99
2016-11-11T09:48:01Z,Boot,159.99
2016-11-11T09:48:01Z,Boot,275
2016-04-07T23:54:48Z,Shoe,109.99
2016-10-05T22:38:43Z,Shoe,34.99
2016-10-05T22:38:43Z,Shoe,87.5
2017-01-30T04:32:09Z,Loafer,107.95
2017-01-09T20:23:49Z,Shoe,139
2017-01-09T20:23:49Z,Shoe,149
2017-01-27T01:20:24Z,Boot,99.95
2017-01-12T06:16:35Z,Oxford,90
2017-01-12T06:16:35Z,Oxford,89.99
2016-11-11T09:55:15Z,Shoe,57.16
2016-11-15T13:14:59Z,Sneaker,85.98
2016-11-15T13:14:59Z,Sneaker,110
2016-11-01T09:43:57Z,Shoe,77.27
2016-11-01T09:43:57Z,Shoe,72.9
2017-01-12T06:12:58Z,Sneaker,130
2017-01-12T06:12:58Z,Sneaker,64.99
2017-01-12T06:12:58Z,Sneaker,76.98
2017-01-12T06:12:58Z,Sneaker,38.99
2017-01-12T06:13:05Z,Shoe,34.99
2017-01-12T06:13:05Z,Shoe,87.5
2016-11-15T12:56:09Z,Boot,126.47
2016-11-15T12:56:09Z,Boot,104.85
2016-03-12T03:34:48Z,Shoe,49.99
2016-03-12T03:34:48Z,Shoe,109.99
2016-04-01T22:01:24Z,Shoe,65
2016-04-15T15:59:35Z,Shoe,67.56
2017-01-27T01:22:42Z,Sneaker,44.99
2017-01-27T01:22:42Z,Sneaker,65
2016-05-24T05:00:30Z,Loafer,4.99
2016-11-06T23:59:02Z,Loafer,425
2016-11-06T23:59:02Z,Loafer,143.99
2016-11-06T23:59:02Z,Loafer,186.99
2017-01-20T18:57:15Z,Shoe,12.99
2016-07-17T08:42:16Z,Shoe,144.995
2016-07-17T08:42:16Z,Shoe,144.97
2016-05-11T18:25:10Z,Boot,198.89
2016-04-08T08:20:37Z,Shoe,107.16
2016-07-27T20:44:27Z,Shoe,160
2016-03-10T18:10:04Z,Boot,180
2016-10-05T22:23:19Z,Boot,259
2017-01-20T18:58:32Z,Shoe,12.99
2016-03-28T22:15:08Z,Shoe,49.99
2016-07-09T01:27:47Z,Sneaker,39.99
2016-07-09T01:27:47Z,Sneaker,120
2016-07-09T01:27:47Z,Sneaker,43.99
2016-07-09T01:27:47Z,Sneaker,48.99
2016-07-09T01:27:47Z,Sneaker,31.99
2016-07-09T01:27:47Z,Sneaker,35.99
2016-07-09T01:27:47Z,Sneaker,38.99
2017-01-12T06:16:24Z,Loafer,45.5
2017-01-12T06:16:24Z,Loafer,60
2016-10-05T22:23:58Z,Shoe,34.99
2016-10-05T22:23:58Z,Shoe,87.5
2016-11-09T17:20:45Z,Shoe,59.83
2016-11-09T17:20:45Z,Shoe,52.99
2016-04-05T23:33:21Z,Boot,149.95
2016-04-05T23:33:21Z,Boot,175
2016-11-11T09:51:40Z,Boot,126.99
2016-11-01T09:40:00Z,Boot,171.99
2016-11-01T09:40:00Z,Boot,215
2016-04-02T00:19:11Z,Shoe,29.99
2017-01-27T01:34:30Z,Boot,130.48
2016-11-01T09:46:27Z,Sneaker,110
2016-11-01T09:46:27Z,Sneaker,32.99
2016-04-20T07:50:21Z,Sneaker,18.99
2017-01-12T06:19:20Z,Boot,23.57
2017-01-12T06:19:20Z,Boot,23.57
2016-11-11T09:48:06Z,Sneaker,31.34
2016-11-11T09:48:06Z,Sneaker,26.55
2016-11-11T09:48:06Z,Sneaker,32.99
2016-07-17T11:01:07Z,Shoe,95
2017-01-27T01:22:42Z,Sneaker,29.93
2017-01-27T01:22:42Z,Sneaker,59.99
2016-07-19T03:07:17Z,Shoe,31
2016-02-17T17:02:49Z,Shoe,66.49
2017-01-27T01:30:01Z,Boot,109.95
2017-01-20T18:57:39Z,Shoe,59
2016-11-11T09:46:38Z,Shoe,76.66
2017-01-12T06:20:14Z,Shoe,81.16
2017-01-12T06:20:14Z,Shoe,76.5
2016-06-08T05:32:40Z,Shoe,125
2016-06-08T05:32:40Z,Shoe,87.99
2017-01-27T01:30:40Z,Shoe,125
2016-05-07T02:32:24Z,Boot,17.02
2016-05-07T02:32:24Z,Boot,22.95
2016-05-07T02:32:24Z,Boot,28
2017-01-09T19:46:50Z,Shoe,69.9
2017-01-09T19:46:50Z,Shoe,59.9
2016-02-21T01:33:15Z,Shoe,55
2016-02-21T01:33:15Z,Shoe,43.99
2016-11-11T09:50:23Z,Canvas,40
2016-11-11T09:50:23Z,Canvas,29.99
2016-11-11T09:50:23Z,Canvas,23.99
2016-11-11T09:50:23Z,Canvas,21.99
2016-05-23T03:54:53Z,Shoe,58.99
2017-01-20T18:57:26Z,Canvas,24
2017-01-20T18:57:26Z,Canvas,14.99
2017-01-09T20:23:35Z,Boot,49.88
2017-01-09T20:23:35Z,Boot,27.88
2016-04-01T05:38:50Z,Oxford,39.09
2016-04-01T05:38:50Z,Oxford,61.98
2016-11-01T09:39:25Z,Oxford,52.99
2016-11-01T09:39:25Z,Oxford,90
2016-10-05T17:48:31Z,Sneaker,36.99
2016-03-04T05:08:49Z,Shoe,49.95
2017-01-12T06:19:33Z,Boot,130
2017-01-12T06:19:33Z,Boot,58.99
2016-11-01T09:53:31Z,Sneaker,86.99
2016-11-01T09:53:31Z,Sneaker,295
2016-05-08T05:49:04Z,Shoe,59.47
2016-11-15T13:22:18Z,Sneaker,45
2016-11-15T13:22:18Z,Sneaker,39.98
2016-11-15T13:22:18Z,Sneaker,27.99
2016-11-15T13:22:18Z,Sneaker,35
2017-01-09T20:23:58Z,Shoe,66.07
2017-01-09T20:23:58Z,Shoe,59.9
2016-11-07T00:46:18Z,Shoe,65
2016-11-07T00:46:18Z,Shoe,29.79
2016-11-07T00:46:18Z,Shoe,22.99
2016-02-21T01:32:42Z,Sneaker,130
2016-02-21T01:32:42Z,Sneaker,59.95
2016-05-02T01:48:51Z,Boot,79.99
2016-11-16T12:56:39Z,Shoe,42.99
2016-11-16T12:56:39Z,Shoe,80
2017-01-17T18:52:23Z,Oxford,34.99
2017-01-17T18:52:23Z,Oxford,29.990000000000002
2017-01-27T01:20:23Z,Boot,86.49
2016-03-04T06:03:21Z,Shoe,110.22
2017-01-12T06:20:35Z,Boot,177.43
2017-01-12T06:20:35Z,Boot,175.55
2017-01-12T06:20:35Z,Boot,172.95
2016-01-27T11:52:36Z,Shoe,179.99
2016-03-04T03:43:37Z,Shoe,99.99
2016-05-18T07:53:08Z,Shoe,109.99
2016-03-04T05:43:39Z,Shoe,44.99
2016-04-01T02:59:53Z,Boot,197
2016-04-01T02:59:53Z,Boot,179.99
2016-04-01T02:59:53Z,Boot,179.99
2016-03-04T04:27:38Z,Shoe,59.99
2017-01-12T06:15:45Z,Shoe,65
2017-01-12T06:15:45Z,Shoe,60.12
2017-01-12T06:15:45Z,Shoe,65
2017-01-27T01:34:35Z,Boot,279
2017-01-12T06:15:22Z,Shoe,155.36
2017-01-12T06:15:22Z,Shoe,225
2017-01-20T18:58:32Z,Shoe,69.11
2017-01-22T06:21:53Z,Boot,107.56
2016-04-25T02:37:04Z,Canvas,22.39
2017-01-09T19:46:05Z,Shoe,74.08
2017-01-12T06:15:51Z,Shoe,99.99
2017-01-12T06:15:51Z,Shoe,120
2016-04-01T20:53:40Z,Sneaker,52.99
2017-01-09T19:46:06Z,Shoe,120
2016-11-01T09:40:39Z,Shoe,70
2017-01-20T18:57:15Z,Loafer,44
2017-01-20T18:57:15Z,Loafer,21.49
2017-01-22T06:21:53Z,Shoe,39.95
2017-01-12T06:14:09Z,Shoe,70
2017-01-12T06:14:09Z,Shoe,59.38
2017-01-27T01:22:44Z,Shoe,65
2017-01-22T06:21:48Z,Boot,178.16
2017-01-22T06:21:48Z,Boot,165.75
